Dataset,Model,Attack,Drift
Phishing,XGBoost,attack1_top_feature,0.0388
Phishing,XGBoost,attack2_prediction_stable,0.0421
Phishing,XGBoost,attack4_targeted,0.0512
Phishing,Neural,attack1_top_feature,0.0230
Phishing,Neural,attack2_prediction_stable,0.0185
Phishing,Neural,attack3_gradient,0.0387
Phishing,Neural,attack4_targeted,0.0251
IDS,XGBoost,attack1_top_feature,0.0294
IDS,XGBoost,attack2_prediction_stable,0.0132
IDS,XGBoost,attack4_targeted,0.0417
IDS,Neural,attack1_top_feature,0.0208
IDS,Neural,attack2_prediction_stable,0.0161
IDS,Neural,attack3_gradient,0.0335
IDS,Neural,attack4_targeted,0.0289
Fraud,XGBoost,attack1_top_feature,0.0198
Fraud,XGBoost,attack2_prediction_stable,0.0104
Fraud,XGBoost,attack4_targeted,0.0356
Fraud,Neural,attack1_top_feature,0.0182
Fraud,Neural,attack2_prediction_stable,0.0129
Fraud,Neural,attack3_gradient,0.0301
Fraud,Neural,attack4_targeted,0.0243
